zone_residence,zone_workplace,mode,residence,workplace,number,distance,time
bristol,other,driving,E02003030,E02004637,3,7201,1140
bristol,other,driving,E02003030,E02003000,4,3346,554
bristol,other,driving,E02003034,E02003074,2,0,0
bristol,other,driving,E02003030,E02002995,4,3703,606
bristol,other,driving,E02003037,E02003074,1,3159,610
bristol,bristol,driving,E02003030,E02003044,3,6065,932
bristol,taunton,driving,E02003037,E02006109,7,3768,546
bristol,taunton,passenger,E02003037,E02006109,1,3768,546
bristol,other,driving,E02003037,E02004637,6,4043,588
bristol,other,driving,E02003034,E02002995,3,3256,543
bristol,taunton,driving,E02003037,E02006104,3,5671,912
bristol,other,driving,E02003036,E02006060,2,2162,472
bristol,other,driving,E02003036,E02003000,2,4654,821
bristol,other,driving,E02003036,E02000001,1,6782,1147
bristol,other,driving,E02003036,E02004637,1,4560,615
bristol,other,driving,E02003029,E02004655,2,7193,1131
bristol,other,driving,E02003037,E02003073,5,6781,996
bristol,other,driving,E02003036,E02003096,1,5979,964
bristol,other,driving,E02003033,E02002995,5,3446,732
bristol,other,driving,E02003032,E02003073,1,2011,311
bristol,other,driving,E02003037,E02003000,4,5953,991
bristol,other,driving,E02003031,E02003001,1,0,0
bristol,other,driving,E02003031,E02003074,1,1523,334
bristol,other,driving,E02003032,E02002995,2,5578,888
bristol,other,driving,E02003037,E02004655,14,5239,841
bristol,other,passenger,E02003037,E02004655,4,5239,841
bristol,other,driving,E02003034,E02003102,1,11967,1322
bristol,other,driving,E02003031,E02003011,1,1414,326
bristol,other,driving,E02003031,E02006060,2,1804,419
bristol,other,driving,E02003032,E02003074,1,5245,758
bristol,other,passenger,E02003032,E02003074,1,5245,758
bristol,other,driving,E02003034,E02003000,1,3537,582
bristol,other,driving,E02003027,E02003223,3,5744,840
bristol,taunton,driving,E02003028,E02006109,1,2446,330
bristol,other,driving,E02003033,E02006060,2,2433,516
bristol,other,driving,E02003033,E02004655,5,4620,719
bristol,other,passenger,E02003033,E02004655,1,4620,719
bristol,taunton,driving,E02003028,E02006104,1,3520,538
bristol,other,driving,E02003036,E02003001,3,3024,540
bristol,other,driving,E02003031,E02003000,4,3992,645
bristol,other,driving,E02003032,E02006665,10,10091,1247
bristol,other,driving,E02003034,E02006060,1,2638,434
bristol,other,passenger,E02003034,E02006060,1,2638,434
bristol,other,driving,E02003034,E02004655,5,4120,695
bristol,other,driving,E02003028,E02000001,1,8065,1305
bristol,other,passenger,E02003028,E02000001,1,8065,1305
bristol,bristol,driving,E02003037,E02003062,2,38473,2614
bristol,bristol,passenger,E02003037,E02003062,1,38473,2614
bristol,other,driving,E02003034,E02004637,2,5558,864
bristol,other,driving,E02003031,E02004277,2,3804,563
bristol,bristol,driving,E02003034,E02003044,2,4029,703
bristol,taunton,driving,E02003033,E02006104,5,5052,790
bristol,other,driving,E02003031,E02004637,3,4078,635
bristol,other,driving,E02003031,E02003096,3,5669,880
bristol,other,driving,E02003031,E02003073,2,4737,741
bristol,other,driving,E02003027,E02006060,2,0,0
bristol,other,driving,E02003032,E02006659,1,7756,1231
bristol,other,driving,E02003033,E02003096,1,7207,1056
bristol,other,driving,E02003033,E02000001,1,8010,1239
bristol,other,driving,E02003030,E02003096,4,3588,578
bristol,other,passenger,E02003030,E02003096,1,3588,578
bristol,other,driving,E02003031,E02004609,2,6982,920
bristol,other,passenger,E02003031,E02004609,3,6982,920
bristol,other,driving,E02003036,E02004655,5,4124,801
bristol,other,passenger,E02003036,E02004655,2,4124,801
bristol,other,driving,E02003032,E02003102,3,10102,1228
bristol,other,passenger,E02003032,E02003102,1,10102,1228
bristol,other,driving,E02003034,E02006659,3,2822,560
bristol,other,passenger,E02003034,E02006659,1,2822,560
bristol,other,driving,E02003034,E02003096,3,4414,636
bristol,taunton,driving,E02003031,E02006104,1,4362,693
bristol,other,driving,E02003027,E02003000,1,2457,454
bristol,taunton,driving,E02003034,E02006109,1,5082,769
bristol,taunton,driving,E02003032,E02006104,1,6390,1001
bristol,other,driving,E02003033,E02003074,1,2687,500
bristol,other,driving,E02003033,E02003223,3,5827,799
bristol,other,driving,E02003026,E02004277,1,0,0
bristol,bristol,driving,E02003026,E02003062,1,43673,2759
bristol,other,driving,E02003032,E02003002,1,14953,1543
bristol,other,driving,E02003031,E02003102,1,13378,1607
bristol,other,driving,E02003029,E02003073,1,2632,388
bristol,bristol,driving,E02003032,E02003044,2,7940,1214
bristol,bristol,driving,E02003034,E02003048,3,22752,2364
bristol,other,driving,E02003036,E02003223,4,6535,874
bristol,taunton,driving,E02003030,E02006104,1,4515,718
bristol,other,driving,E02003034,E02004609,3,8234,1143
bristol,other,driving,E02003030,E02000001,2,2028,459
bristol,other,passenger,E02003032,E02003223,1,11923,1484
bristol,taunton,driving,E02003031,E02006109,3,3856,553
bristol,other,driving,E02003029,E02002995,3,6199,966
bristol,other,driving,E02003030,E02006060,1,3645,605
bristol,other,driving,E02003036,E02003102,1,13532,1650
bristol,other,driving,E02003028,E02004637,3,2668,412
bristol,other,driving,E02003028,E02002995,2,2840,466
bristol,other,driving,E02003029,E02003102,5,13171,1125
bristol,other,passenger,E02003029,E02003102,1,13171,1125
bristol,other,driving,E02003029,E02003096,3,3320,544
bristol,other,driving,E02003037,E02003002,3,22730,2335
bristol,other,driving,E02003028,E02003011,1,1519,252
bristol,other,driving,E02003027,E02003001,2,977,197
bristol,bristol,driving,E02003031,E02003062,6,36429,2359
bristol,other,driving,E02003027,E02003011,1,2392,522
bristol,other,driving,E02003029,E02003000,2,5841,914
bristol,other,driving,E02003024,E02003002,2,17639,1786
bristol,other,driving,E02003023,E02003001,1,5234,873
bristol,other,driving,E02003032,E02003001,2,6432,1045
bristol,other,driving,E02003027,E02004637,2,3588,608
bristol,other,passenger,E02003029,E02003001,1,7053,1122
bristol,other,driving,E02003027,E02002995,4,1151,260
bristol,other,passenger,E02003027,E02002995,1,1151,260
bristol,other,driving,E02003028,E02003000,1,4432,711
bristol,other,driving,E02003030,E02004655,2,4698,771
bristol,other,driving,E02003027,E02003073,3,3766,643
