zone_residence,zone_workplace,mode,residence,workplace,number,distance,time
bridgwater,other,driving,E02006069,E02006845,8,31285.744266914568,1251.4297706765826
bridgwater,weston-super-mare,driving,E02006073,E02003084,12,30591.62037172463,1223.6648148689853
bridgwater,other,driving,E02006073,E02003118,6,62209.82000571964,2488.3928002287853
bridgwater,other,driving,E02006073,E02006057,6,24903.14519562533,996.1258078250132
bridgwater,other,driving,E02006073,E02006058,14,21864.714341532683,874.5885736613074
bridgwater,other,driving,E02006073,E02006060,12,22219.019621028638,888.7607848411456
bridgwater,other,driving,E02006073,E02006061,9,28508.89044631831,1140.3556178527324
bridgwater,other,passenger,E02006073,E02006061,2,28508.89044631831,1140.3556178527324
bridgwater,other,driving,E02006073,E02006062,20,17954.46505119043,718.1786020476171
bridgwater,other,passenger,E02006073,E02006062,4,17954.46505119043,718.1786020476171
bridgwater,other,driving,E02006073,E02006063,7,21030.36098703191,841.2144394812764
bridgwater,highbridge_and_burnham,driving,E02006073,E02006064,13,16069.22252083755,642.768900833502
bridgwater,highbridge_and_burnham,passenger,E02006073,E02006064,1,16069.22252083755,642.768900833502
bridgwater,highbridge_and_burnham,driving,E02006073,E02006065,47,14363.582536869555,574.5433014747822
bridgwater,highbridge_and_burnham,passenger,E02006073,E02006065,10,14363.582536869555,574.5433014747822
bridgwater,other,driving,E02006073,E02006066,50,8221.900659113084,328.87602636452334
bridgwater,other,passenger,E02006073,E02006066,4,8221.900659113084,328.87602636452334
bridgwater,other,driving,E02006073,E02006067,38,7636.0033847932,305.440135391728
bridgwater,other,passenger,E02006073,E02006067,5,7636.0033847932,305.440135391728
bridgwater,bridgwater,taxi,E02006073,E02006068,1,2710.6295621960126,108.4251824878405
bridgwater,bridgwater,driving,E02006073,E02006068,173,2710.6295621960126,108.4251824878405
bridgwater,bridgwater,passenger,E02006073,E02006068,19,2710.6295621960126,108.4251824878405
bridgwater,bridgwater,taxi,E02006073,E02006069,6,1797.545257791531,71.90181031166124
bridgwater,bridgwater,driving,E02006073,E02006069,224,1797.545257791531,71.90181031166124
bridgwater,bridgwater,passenger,E02006073,E02006069,36,1797.545257791531,71.90181031166124
bridgwater,other,driving,E02006073,E02006070,112,2706.4503168824685,108.25801267529874
bridgwater,other,passenger,E02006073,E02006070,18,2706.4503168824685,108.25801267529874
bridgwater,other,taxi,E02006073,E02006071,1,1987.3878983194238,79.49551593277695
bridgwater,other,driving,E02006073,E02006071,36,1987.3878983194238,79.49551593277695
bridgwater,other,passenger,E02006073,E02006071,5,1987.3878983194238,79.49551593277695
bridgwater,other,driving,E02006073,E02006072,14,9858.278874656542,394.3311549862617
bridgwater,other,passenger,E02006073,E02006072,1,9858.278874656542,394.3311549862617
bridgwater,bridgwater,driving,E02006073,E02006073,86,0.0,0.0
bridgwater,bridgwater,passenger,E02006073,E02006073,12,0.0,0.0
bridgwater,other,driving,E02006073,E02006074,144,3246.4602668319335,129.85841067327735
bridgwater,other,passenger,E02006073,E02006074,12,3246.4602668319335,129.85841067327735
bridgwater,taunton,driving,E02006073,E02006100,12,14404.023958553411,576.1609583421364
bridgwater,taunton,passenger,E02006073,E02006100,4,14404.023958553411,576.1609583421364
bridgwater,taunton,driving,E02006073,E02006102,13,13577.060688190619,543.0824275276248
bridgwater,other,driving,E02006073,E02006103,11,12571.166094607488,502.84664378429954
bridgwater,other,passenger,E02006073,E02006103,3,12571.166094607488,502.84664378429954
bridgwater,taunton,driving,E02006073,E02006104,32,14204.163683586836,568.1665473434734
bridgwater,taunton,passenger,E02006073,E02006104,2,14204.163683586836,568.1665473434734
bridgwater,taunton,driving,E02006073,E02006105,30,15159.340787911842,606.3736315164737
bridgwater,taunton,passenger,E02006073,E02006105,2,15159.340787911842,606.3736315164737
bridgwater,taunton,driving,E02006073,E02006106,17,17010.85467678392,680.4341870713569
bridgwater,taunton,passenger,E02006073,E02006106,4,17010.85467678392,680.4341870713569
bridgwater,taunton,driving,E02006073,E02006107,12,15457.110830309024,618.2844332123609
bridgwater,taunton,passenger,E02006073,E02006107,2,15457.110830309024,618.2844332123609
bridgwater,taunton,driving,E02006073,E02006108,59,16771.172010614253,670.8468804245701
bridgwater,taunton,passenger,E02006073,E02006108,7,16771.172010614253,670.8468804245701
bridgwater,taunton,driving,E02006073,E02006109,32,18367.57963718602,734.7031854874408
bridgwater,wellington,driving,E02006073,E02006110,8,26353.23293462515,1054.129317385006
bridgwater,wellington,driving,E02006073,E02006111,8,26692.99412560401,1067.7197650241606
bridgwater,wellington,passenger,E02006073,E02006111,1,26692.99412560401,1067.7197650241606
bridgwater,other,driving,E02006073,E02006112,6,17603.629355965542,704.1451742386217
bridgwater,other,driving,E02006073,E02006116,41,24223.34658903756,968.9338635615023
bridgwater,other,passenger,E02006073,E02006116,6,24223.34658903756,968.9338635615023
bridgwater,weston-super-mare,driving,E02006073,E02006846,7,31255.21094640468,1250.2084378561872
bridgwater,bridgwater,bicycle,E02006068,E02006068,72,0.0,0.0
bridgwater,bridgwater,bicycle,E02006068,E02006069,81,1858.6167293220406,309.76945488700676
bridgwater,other,bicycle,E02006068,E02006070,36,870.5968124518186,145.09946874196976
bridgwater,bridgwater,bicycle,E02006068,E02006073,11,2710.6295621960126,451.7715936993354
bridgwater,other,bicycle,E02006068,E02006074,53,5531.885585332924,921.9809308888207
bridgwater,other,bicycle,E02006069,E02006067,6,7046.684253586766,1174.4473755977945
bridgwater,bridgwater,bicycle,E02006069,E02006068,70,1858.6167293220406,309.76945488700676
bridgwater,bridgwater,bicycle,E02006069,E02006069,95,0.0,0.0
bridgwater,other,bicycle,E02006069,E02006070,67,2432.3579068158742,405.39298446931235
bridgwater,other,bicycle,E02006069,E02006071,10,1413.5457298879794,235.5909549813299
bridgwater,bridgwater,bicycle,E02006069,E02006073,25,1797.545257791531,299.5908762985885
bridgwater,other,bicycle,E02006069,E02006074,56,5043.914097774318,840.652349629053
bridgwater,bridgwater,bicycle,E02006073,E02006068,35,2710.6295621960126,451.7715936993354
bridgwater,bridgwater,bicycle,E02006073,E02006069,78,1797.545257791531,299.5908762985885
bridgwater,other,bicycle,E02006073,E02006070,27,2706.4503168824685,451.0750528137448
bridgwater,other,bicycle,E02006073,E02006071,12,1987.3878983194238,331.23131638657065
bridgwater,bridgwater,bicycle,E02006073,E02006073,19,0.0,0.0
bridgwater,other,bicycle,E02006073,E02006074,50,3246.4602668319335,541.0767111386556
bridgwater,highbridge_and_burnham,foot,E02006068,E02006065,5,12361.059595525503,8829.328282518218
bridgwater,other,foot,E02006068,E02006066,5,5828.48586267132,4163.204187622372
bridgwater,other,foot,E02006068,E02006067,6,8832.687324347393,6309.062374533853
bridgwater,bridgwater,foot,E02006068,E02006068,189,0.0,0.0
bridgwater,bridgwater,foot,E02006068,E02006069,141,1858.6167293220406,1327.583378087172
bridgwater,other,foot,E02006068,E02006070,37,870.5968124518186,621.8548660370133
bridgwater,other,foot,E02006068,E02006072,5,7708.2490821755455,5505.892201553961
bridgwater,bridgwater,foot,E02006068,E02006073,35,2710.6295621960126,1936.1639729971519
bridgwater,other,foot,E02006068,E02006074,15,5531.885585332924,3951.346846666375
bridgwater,other,foot,E02006069,E02006061,5,27083.85352825071,19345.609663036223
bridgwater,highbridge_and_burnham,foot,E02006069,E02006064,8,14271.702542169329,10194.073244406663
bridgwater,highbridge_and_burnham,foot,E02006069,E02006065,7,12572.184577231348,8980.131840879534
bridgwater,other,foot,E02006069,E02006067,7,7046.684253586766,5033.345895419119
bridgwater,bridgwater,foot,E02006069,E02006068,178,1858.6167293220406,1327.583378087172
bridgwater,bridgwater,foot,E02006069,E02006069,566,0.0,0.0
bridgwater,other,foot,E02006069,E02006070,37,2432.3579068158742,1737.3985048684817
bridgwater,other,foot,E02006069,E02006071,39,1413.5457298879794,1009.6755213485568
bridgwater,bridgwater,foot,E02006069,E02006073,88,1797.545257791531,1283.9608984225222
bridgwater,other,foot,E02006069,E02006074,29,5043.914097774318,3602.7957841245134
bridgwater,taunton,foot,E02006069,E02006104,5,15923.921336879615,11374.229526342584
bridgwater,taunton,foot,E02006069,E02006108,5,18412.206461881273,13151.57604420091
bridgwater,bridgwater,foot,E02006073,E02006068,59,2710.6295621960126,1936.1639729971519
bridgwater,bridgwater,foot,E02006073,E02006069,176,1797.545257791531,1283.9608984225222
bridgwater,other,foot,E02006073,E02006070,14,2706.4503168824685,1933.178797773192
bridgwater,other,foot,E02006073,E02006071,12,1987.3878983194238,1419.5627845138742
bridgwater,bridgwater,foot,E02006073,E02006073,126,0.0,0.0
bridgwater,other,foot,E02006073,E02006074,40,3246.4602668319335,2318.900190594238
bridgwater,taunton,foot,E02006073,E02006105,5,15159.340787911842,10828.100562794174
bridgwater,bridgwater,motorcycle,E02006068,E02006069,6,1858.6167293220406,109.33039584247297
bridgwater,other,motorcycle,E02006068,E02006070,5,870.5968124518186,51.21157720304815
bridgwater,other,motorcycle,E02006068,E02006074,5,5531.885585332924,325.4050344313485
bridgwater,bridgwater,motorcycle,E02006069,E02006068,8,1858.6167293220406,109.33039584247297
bridgwater,bridgwater,motorcycle,E02006069,E02006069,6,0.0,0.0
bridgwater,other,motorcycle,E02006069,E02006070,8,2432.3579068158742,143.079876871522
bridgwater,bridgwater,motorcycle,E02006073,E02006069,6,1797.545257791531,105.7379563406783
bridgwater,other,motorcycle,E02006073,E02006070,6,2706.4503168824685,159.2029598166158
bridgwater,other,motorcycle,E02006073,E02006074,5,3246.4602668319335,190.96825099011375
bridgwater,other,bus,E02006068,E02006062,6,16019.909682420937,2912.7108513492612
bridgwater,highbridge_and_burnham,bus,E02006068,E02006064,5,14218.931731120236,2585.2603147491336
bridgwater,bridgwater,bus,E02006068,E02006068,7,0.0,0.0
bridgwater,bridgwater,bus,E02006068,E02006069,25,1858.6167293220406,337.9303144221892
bridgwater,bridgwater,bus,E02006068,E02006073,6,2710.6295621960126,492.8417385810932
bridgwater,taunton,bus,E02006068,E02006104,8,16698.771646010406,3036.1402992746193
bridgwater,highbridge_and_burnham,bus,E02006069,E02006064,7,14271.702542169329,2594.855007667151
bridgwater,other,bus,E02006069,E02006066,7,6559.585122992159,1192.651840544029
bridgwater,bridgwater,bus,E02006069,E02006069,6,0.0,0.0
bridgwater,taunton,bus,E02006069,E02006104,7,15923.921336879615,2895.2584248872026
bridgwater,taunton,bus,E02006069,E02006108,21,18412.206461881273,3347.6739021602316
bridgwater,other,bus,E02006069,E02006116,11,24115.44683031066,4384.6266964201195
bridgwater,bridgwater,bus,E02006073,E02006068,8,2710.6295621960126,492.8417385810932
bridgwater,bridgwater,bus,E02006073,E02006069,14,1797.545257791531,326.8264105075511
bridgwater,taunton,bus,E02006073,E02006108,10,16771.172010614253,3049.304001929864
bridgwater,highbridge_and_burnham,train,E02006068,E02006065,7,12361.059595525503,412.0353198508501
bridgwater,highbridge_and_burnham,train,E02006069,E02006065,6,12572.184577231348,419.07281924104495
bristol,other,driving,E02003012,E02001097,15,250412.25328080019,10016.490131232007
bristol,other,driving,E02003012,E02002987,7,17633.8756922651,705.3550276906041
bristol,other,driving,E02003012,E02002991,5,27044.69227688154,1081.7876910752616
bristol,other,passenger,E02003012,E02002991,1,27044.69227688154,1081.7876910752616
bristol,other,driving,E02003012,E02002992,12,24959.62303080356,998.3849212321423
bristol,other,driving,E02003012,E02003007,5,28774.740751778987,1150.9896300711596
bristol,other,passenger,E02003012,E02003007,1,28774.740751778987,1150.9896300711596
bristol,bristol,taxi,E02003012,E02003012,2,0.0,0.0
bristol,bristol,driving,E02003012,E02003012,102,0.0,0.0
bristol,bristol,passenger,E02003012,E02003012,14,0.0,0.0
bristol,bristol,driving,E02003012,E02003013,55,1944.3031531355057,77.77212612542023
bristol,bristol,passenger,E02003012,E02003013,10,1944.3031531355057,77.77212612542023
bristol,bristol,taxi,E02003012,E02003014,1,3539.1029615914763,141.56411846365904
bristol,bristol,driving,E02003012,E02003014,113,3539.1029615914763,141.56411846365904
bristol,bristol,passenger,E02003012,E02003014,15,3539.1029615914763,141.56411846365904
bristol,bristol,driving,E02003012,E02003015,126,3284.0752395770355,131.3630095830814
bristol,bristol,passenger,E02003012,E02003015,21,3284.0752395770355,131.3630095830814
bristol,bristol,driving,E02003012,E02003016,9,4318.873039504288,172.7549215801715
bristol,bristol,passenger,E02003012,E02003016,1,4318.873039504288,172.7549215801715
bristol,bristol,driving,E02003012,E02003017,75,2406.3661573215118,96.25464629286047
bristol,bristol,passenger,E02003012,E02003017,11,2406.3661573215118,96.25464629286047
bristol,bristol,driving,E02003012,E02003019,130,5689.009223405935,227.56036893623738
bristol,bristol,passenger,E02003012,E02003019,13,5689.009223405935,227.56036893623738
bristol,bristol,driving,E02003012,E02003020,51,2747.529290489929,109.90117161959715
bristol,bristol,passenger,E02003012,E02003020,7,2747.529290489929,109.90117161959715
bristol,bristol,driving,E02003012,E02003021,10,4386.0417878145845,175.44167151258338
bristol,bristol,taxi,E02003012,E02003022,1,3365.330608174238,134.61322432696952
bristol,bristol,driving,E02003012,E02003022,20,3365.330608174238,134.61322432696952
bristol,bristol,passenger,E02003012,E02003022,5,3365.330608174238,134.61322432696952
bristol,bristol,driving,E02003012,E02003023,5,7252.421602769668,290.0968641107867
bristol,bristol,driving,E02003012,E02003024,18,8728.007002813683,349.12028011254733
bristol,bristol,passenger,E02003012,E02003024,2,8728.007002813683,349.12028011254733
bristol,bristol,driving,E02003012,E02003025,24,5659.213458069217,226.3685383227687
bristol,bristol,passenger,E02003012,E02003025,1,5659.213458069217,226.3685383227687
bristol,bristol,driving,E02003012,E02003026,34,4141.812074942663,165.6724829977065
bristol,bristol,passenger,E02003012,E02003026,4,4141.812074942663,165.6724829977065
bristol,bristol,driving,E02003012,E02003027,33,4823.375065224856,192.93500260899427
bristol,bristol,passenger,E02003012,E02003027,1,4823.375065224856,192.93500260899427
bristol,bristol,driving,E02003012,E02003028,21,4454.19262748623,178.1677050994492
bristol,bristol,passenger,E02003012,E02003028,5,4454.19262748623,178.1677050994492
bristol,bristol,driving,E02003012,E02003030,7,7854.2981024115,314.17192409646
bristol,bristol,taxi,E02003012,E02003031,2,5600.230833151613,224.00923332606453
bristol,bristol,driving,E02003012,E02003031,6,5600.230833151613,224.00923332606453
bristol,bristol,passenger,E02003012,E02003031,1,5600.230833151613,224.00923332606453
bristol,bristol,driving,E02003012,E02003033,29,5869.065651205041,234.76262604820164
bristol,bristol,passenger,E02003012,E02003033,1,5869.065651205041,234.76262604820164
bristol,bristol,driving,E02003012,E02003034,40,6652.682075543708,266.10728302174834
bristol,bristol,passenger,E02003012,E02003034,1,6652.682075543708,266.10728302174834
bristol,bristol,driving,E02003012,E02003036,38,6510.721836272777,260.4288734509111
bristol,bristol,passenger,E02003012,E02003036,3,6510.721836272777,260.4288734509111
bristol,bristol,driving,E02003012,E02003037,28,6292.821463138921,251.71285852555684
bristol,bristol,passenger,E02003012,E02003037,6,6292.821463138921,251.71285852555684
bristol,bristol,driving,E02003012,E02003038,7,10439.652354712565,417.5860941885026
bristol,bristol,driving,E02003012,E02003040,11,8718.043559493824,348.721742379753
bristol,bristol,driving,E02003012,E02003041,36,7171.919222900452,286.8767689160181
bristol,bristol,passenger,E02003012,E02003041,10,7171.919222900452,286.8767689160181
bristol,bristol,driving,E02003012,E02003043,185,7613.88094439649,304.5552377758596
bristol,bristol,passenger,E02003012,E02003043,18,7613.88094439649,304.5552377758596
