zone_residence,zone_workplace,mode,number,distance,time
exeter,highbridge_and_burnham,train,0,83305,7042
exeter,wellington,train,0,44523,3755
exeter,bristol,train,44,125763,6354
bristol,tiverton,train,0,106937,8463
bristol,weston-super-mare,train,47,33827,4364
bristol,highbridge_and_burnham,train,4,49189,6043
bristol,bridgwater,train,5,57859,5289
bristol,exeter,train,39,126224,6985
exeter,taunton,train,32,52539,3305
taunton,taunton,motorcycle,252,0,0
cullompton,weston-super-mare,motorcycle,0,0,0
weston-super-mare,cullompton,motorcycle,0,0,0
wellington,bristol,motorcycle,1,0,0
weston-super-mare,taunton,motorcycle,1,0,0
weston-super-mare,weston-super-mare,motorcycle,139,0,0
wellington,weston-super-mare,motorcycle,0,0,0
tiverton,exeter,motorcycle,13,0,0
tiverton,cullompton,motorcycle,2,0,0
highbridge_and_burnham,wellington,motorcycle,0,0,0
weston-super-mare,wellington,motorcycle,0,0,0
taunton,exeter,motorcycle,9,0,0
wellington,taunton,motorcycle,31,0,0
cullompton,tiverton,motorcycle,2,0,0
taunton,tiverton,motorcycle,0,0,0
wellington,tiverton,motorcycle,0,0,0
exeter,bridgwater,motorcycle,0,0,0
weston-super-mare,bristol,motorcycle,35,0,0
highbridge_and_burnham,cullompton,motorcycle,0,0,0
taunton,cullompton,motorcycle,0,0,0
exeter,cullompton,motorcycle,3,0,0
highbridge_and_burnham,highbridge_and_burnham,motorcycle,32,0,0
weston-super-mare,bridgwater,motorcycle,0,0,0
wellington,wellington,motorcycle,33,0,0
tiverton,weston-super-mare,motorcycle,0,0,0
tiverton,taunton,motorcycle,2,0,0
weston-super-mare,exeter,motorcycle,0,0,0
exeter,wellington,motorcycle,1,0,0
wellington,bridgwater,motorcycle,2,0,0
tiverton,wellington,motorcycle,0,0,0
highbridge_and_burnham,weston-super-mare,motorcycle,5,0,0
exeter,taunton,motorcycle,0,0,0
weston-super-mare,highbridge_and_burnham,motorcycle,10,0,0
exeter,weston-super-mare,motorcycle,0,0,0
bristol,weston-super-mare,motorcycle,5,0,0
bristol,bristol,motorcycle,1341,0,0
wellington,cullompton,motorcycle,0,0,0
exeter,bristol,motorcycle,1,0,0
weston-super-mare,tiverton,motorcycle,0,0,0
wellington,highbridge_and_burnham,motorcycle,0,0,0
highbridge_and_burnham,exeter,motorcycle,0,0,0
bridgwater,exeter,motorcycle,1,0,0
cullompton,wellington,motorcycle,0,0,0
taunton,weston-super-mare,motorcycle,0,0,0
bridgwater,highbridge_and_burnham,motorcycle,6,0,0
cullompton,exeter,motorcycle,19,0,0
highbridge_and_burnham,taunton,motorcycle,0,0,0
bristol,exeter,motorcycle,1,0,0
cullompton,cullompton,motorcycle,8,0,0
bridgwater,wellington,motorcycle,3,0,0
highbridge_and_burnham,bridgwater,motorcycle,7,0,0
bridgwater,weston-super-mare,motorcycle,1,0,0
cullompton,bridgwater,motorcycle,0,0,0
bristol,highbridge_and_burnham,motorcycle,0,0,0
bridgwater,taunton,motorcycle,12,0,0
taunton,highbridge_and_burnham,motorcycle,0,0,0
exeter,highbridge_and_burnham,motorcycle,0,0,0
highbridge_and_burnham,tiverton,motorcycle,0,0,0
cullompton,bristol,motorcycle,0,0,0
bridgwater,bristol,motorcycle,2,0,0
bridgwater,tiverton,motorcycle,0,0,0
bristol,tiverton,motorcycle,0,0,0
bristol,taunton,motorcycle,2,0,0
bristol,cullompton,motorcycle,0,0,0
bristol,wellington,motorcycle,0,0,0
cullompton,highbridge_and_burnham,motorcycle,0,0,0
tiverton,tiverton,motorcycle,36,0,0
taunton,bristol,motorcycle,1,0,0
tiverton,highbridge_and_burnham,motorcycle,0,0,0
bridgwater,cullompton,motorcycle,0,0,0
tiverton,bridgwater,motorcycle,0,0,0
highbridge_and_burnham,bristol,motorcycle,5,0,0
bridgwater,bridgwater,motorcycle,33,0,0
